"SITE","DATE","FSC_DRY","FSC_CARBON","FSC_NITROGEN","FSC_FRACTION_CANOPY","FROND_DENSITY","PLANT_DENSITY","SURFACE_IRRADIANCE","BOTTOM_IRRADIANCE","SUBSURFACE_IRRADIANCE","PLANT_LOSS_RATE","FROND_LOSS_RATE","CUT_FROND_LOSS_RATE","BLADE_LOSS_RATE","DISSOLVED_LOSS_RATE","CARBON_LOST_AS_PLANTS","CARBON_LOST_AS_FRONDS","CARBON_LOST_AS_CUT_FRONDS","CARBON_LOST_AS_BLADES","CARBON_LOST_AS_DISSOLVED","SE_FSC_dry","SE_FSC_carbon","SE_FSC_nitrogen","SE_FSC_fraction_canopy","SE_frond_density","SE_plant_density","SE_plant_loss_rate","SE_frond_loss_rate","SE_cut_frond_loss_rate","SE_blade_loss_rate","SE_dissolved_loss_rate","SE_carbon_lost_as_plants","SE_carbon_lost_as_fronds","SE_carbon_lost_as_cut_fronds","SE_carbon_lost_as_blades","SE_carbon_lost_as_dissolved"
"ABUR",2003-01-16,0.0708086093274915,0.0174765035088215,0.00136140624402563,0.499689616263692,0.483333333333333,0.0104166666666667,511.338305937293,13.9471859106012,109.017873289351,0.0316834948506825,0.0223967183663638,0,0.0124658501628494,0.00307509752411246,0.00159649940192607,0.00112854808617289,0,0.000628141637255662,0.000154951067779826,0.0218188613494153,0.00553508037762905,0.000472750477196742,0.0573370376708322,0.11108218190442,0.00141625840663142,0.0136507093126438,0.00626190107306109,0,0.000187772584101271,0.000199798261274196,0.00073998091226714,0.00037069981601463,0,9.81880582811462e-05,2.66530683420412e-05
"ABUR",2004-01-09,0.112662442490791,0.0294401520880756,0.00291058005518606,0.378130758928128,1.075,0.0583333333333333,512.064050818036,15.6094039650263,111.98293127298,0.0082194877843366,0.0145782660142635,0,0.0111660282382956,0.00246497397189624,0.00023464902314914,0.000416178716875036,0,0.000318766532333649,7.03698028112822e-05,0.0208536659396025,0.00586773946362834,0.000735840660539659,0.0325283099065466,0.157284325273323,0.00672300077555759,0.00714011416137226,0.00454879224240798,0,0.000230321181443761,0.000134731074208793,0.000205498659535998,0.000142806860085114,0,4.47063827602829e-05,9.95210988482741e-06
"ABUR",2006-01-24,0.0163270984633632,0.00486214278222374,0.000321944963012635,0.140113716241551,0.285416666666667,0.0395833333333333,515.507167143463,14.1823749200114,110.135873304495,0.00810930216216329,0.0226197422848821,0,0.0078985997876503,0.00191400228593332,0.000126308973135703,0.000352320873419709,0,0.000123027112375086,2.9812141474222e-05,0.00331031938908418,0.001036090513239,8.20596760942468e-05,0.0225260932032311,0.0446151105285992,0.00324706374280354,0.0036431738551384,0.00541515699810287,0,0.000217495909965981,0.0001271409303032,6.18025167716371e-05,9.54796337361515e-05,0,2.30633083317975e-05,5.15133428005617e-06
"ABUR",2007-01-03,0.00238272469260957,0.000710690830060883,4.15310471508492e-05,0.117345374164058,0.0583333333333333,0.0145833333333333,510.908753205095,17.3403541391883,114.253527074599,0.0393722116403109,0.00593723903941534,0,0.00767985757599134,0.00210155256845649,8.39661064337296e-05,1.2661895899077e-05,0,1.63782452586776e-05,4.48182053503007e-06,0.000380054675386058,0.000126991838761846,9.36866192589406e-06,0.0211640419258843,0.00638824419891973,0.000926426688341321,0.0163302440801179,0.00250796292667469,0,0.000249043747862612,0.000146271303249458,3.50175444745451e-05,6.27379489102006e-06,0,4.17731276278139e-06,1.10167782676227e-06
"ABUR",2008-01-02,0.0366356657941228,0.00902865781671103,0.000746640143643045,0.106074038638747,0.66875,0.0708333333333333,461.329160575491,12.9668577255949,106.547343668306,0.0122574926708439,0.0592430484392691,0,0.00894093351104338,0.00232177622269425,0.000275542621572241,0.00133175563022903,0,0.00020098794468758,5.21924282791533e-05,0.00632356108620342,0.00169004730188563,0.000174346158100201,0.00812819002252205,0.0881644618838168,0.00512753161766024,0.00670189752100028,0.0139375279706878,0,0.000163937616248343,0.000139213387203528,0.000157057593933484,0.000350855128173178,0,2.64134429373736e-05,6.56914004354911e-06
"ABUR",2009-01-06,0.0884432254641805,0.0269161351767754,0.00189108742087086,0.334817775903981,1.13333333333333,0.03125,514.050583385649,9.67670158240728,102.2667214275,0.00627095923319222,0.0355442845872187,0,0.0108719612278238,0.00209559950062572,0.000201521241768004,0.00114223806939427,0,0.000349377351313024,6.73434155622042e-05,0.0158917292678267,0.00523423983695357,0.000471650037946142,0.0295617008661375,0.155191409593553,0.00284521488793864,0.00469642649874147,0.00903511361018022,0,0.000200771805212266,0.000112734082661857,0.000156800434424399,0.000333642958127512,0,4.70795024499e-05,9.48948398975899e-06
"ABUR",2010-01-07,0,0,0,-99999,0,0,530.564371490063,15.3446061602359,112.079662533513,0.00228693450495818,0.0168107814627888,-99999,0.00719048221263868,0.00166040701862345,-99999,-99999,-99999,-99999,-99999,0,0,0,-99999,0,0,0.00250956772935447,0.00393207874222569,-99999,0.000503585067774621,0.000115579948600734,-99999,-99999,-99999,-99999,-99999
"ABUR",2011-01-11,0.0179788503217089,0.00469094346932519,0.000407337566247639,0.0749309273032059,0.291666666666667,0.0208333333333333,514.580981692702,9.30205887202632,94.7500150535957,0.00200106769183841,0.0177475761257646,0,0.00764831882910616,0.00204682762413945,1.30816171494221e-05,0.000116021560467144,0,4.99994973519181e-05,1.33807644084515e-05,0.00250931844570503,0.000734570938023384,8.68695008988494e-05,0.0112880572210104,0.0299768036592292,0.00121501840342632,0.00199758140655581,0.00449919089561739,0,0.000253596472617406,0.000132464183319812,1.32402640655034e-05,3.25963286579643e-05,0,6.66368358471964e-06,1.7829641440149e-06
"ABUR",2012-01-11,0.0633585804262662,0.0164443986336922,0.000979223500019263,0.136803149309784,0.875,0.0520833333333333,537.280576097134,10.2975386287856,111.791543588921,0.00451497526116665,0.00982131835316014,0,0.00736979497886768,0.0018396600188113,7.47309449718581e-05,0.000162560448052479,0,0.000121983335713189,3.04496755087847e-05,0.0105961154015638,0.00298533740814448,0.000225834515623232,0.0205165015993512,0.116085697193849,0.00490231537339508,0.00331061045126569,0.00278538166269441,0,0.00016727453133871,0.000106333578131279,5.70684223396919e-05,5.14817819605839e-05,0,1.669918750164e-05,3.8701439232347e-06
"ABUR",2013-01-03,0.259664410148699,0.0673568643710231,0.00513760872078736,0.470696589166237,2.23958333333333,0.0583333333333333,488.541885207946,15.3653313959119,117.402507715486,0,0.0268047692844357,0,0.0114133711811411,0.00244166636237189,0,0.00171260162608282,0,0.000729219410042034,0.000156002155369339,0.0396445664999471,0.0115955785579601,0.00115103607313865,0.0219537439866713,0.257397620747621,0.00328105648047799,0,0.00832477109704504,0,0.000186376130799803,0.000133448866596818,0,0.000564038004782138,0,8.80999181198884e-05,1.85469060915902e-05
